max_lanes,tpu_size,l1_bandwidth_bits,scalar_only_latency,scalar_vector_only_latency,scalar_matrix_only_latency,all_primitives_latency,speedup_all_primitives_vs_scalar,speedup_vector_vs_scalar,speedup_matrix_vs_scalar
16,256,1024,2088333908418.0,220830656768.0,19231179404.0,2282675328.0,914.8624347938805,9.45672099599812,108.59104709842372
16,128,1024,2088333908418.0,220830656768.0,19239163404.0,2290659328.0,911.6737189555582,9.45672099599812,108.54598324082096
16,64,1024,2088333908418.0,220830656768.0,19456644346.0,2508140270.0,832.6224547313695,9.45672099599812,107.33268652501893
8,256,1024,2088333908418.0,383994680526.0,19231179404.0,3292210212.0,634.3258096965043,5.438444890844264,108.59104709842372
8,128,1024,2088333908418.0,383994680526.0,19239163404.0,3300194212.0,632.7912159910181,5.438444890844264,108.54598324082096
8,64,1024,2088333908418.0,383994680526.0,19456644346.0,3517675154.0,593.6687775286257,5.438444890844264,107.33268652501893
16,256,512,2088333908418.0,384560828986.0,19977748392.0,4412159660.0,473.31331351186867,5.430438440452878,104.53299678427545
16,128,512,2088333908418.0,384560828986.0,19978516392.0,4412927660.0,473.23094084392943,5.430438440452878,104.52897840073008
16,64,512,2088333908418.0,384560828986.0,20011980392.0,4446391660.0,469.6693562118637,5.430438440452878,104.35418521861202
8,256,512,2088333908418.0,449524321848.0,19977748392.0,4552410572.0,458.73145125847844,4.64565276431058,104.53299678427545
8,128,512,2088333908418.0,449524321848.0,19978516392.0,4553178572.0,458.65407547604525,4.64565276431058,104.52897840073008
8,64,512,2088333908418.0,449524321848.0,20011980392.0,4586642572.0,455.3077497615831,4.64565276431058,104.35418521861202
16,32,1024,2088333908418.0,220830656768.0,21854641008.0,4906136932.0,425.6574851788095,9.45672099599812,95.55562626965846
4,256,1024,2088333908418.0,775952881451.0,19231179404.0,5826351437.0,358.4291011277012,2.6913153599132222,108.59104709842372
4,128,1024,2088333908418.0,775952881451.0,19239163404.0,5834335437.0,357.93860859872257,2.6913153599132222,108.54598324082096
8,32,1024,2088333908418.0,383994680526.0,21854641008.0,5915671816.0,353.0172013210274,5.438444890844264,95.55562626965846
4,64,1024,2088333908418.0,775952881451.0,19456644346.0,6051816379.0,345.0755570946578,2.6913153599132222,107.33268652501893
16,32,512,2088333908418.0,384560828986.0,21866133008.0,6300544276.000001,331.4529375458673,5.430438440452878,95.50540590116948
8,32,512,2088333908418.0,449524321848.0,21866133008.0,6440795188.0,324.23541619656294,4.64565276431058,95.50540590116948
4,256,512,2088333908418.0,775952881451.0,19977748392.0,6572920425.0,317.7178139073546,2.6913153599132222,104.53299678427545
4,128,512,2088333908418.0,775952881451.0,19978516392.0,6573688425.0,317.6806951293862,2.6913153599132222,104.52897840073008
4,64,512,2088333908418.0,775952881451.0,20011980392.0,6607152425.0,316.07170140591995,2.6913153599132222,104.35418521861202
4,32,1024,2088333908418.0,775952881451.0,21854641008.0,8449813041.0,247.1455756813827,2.6913153599132222,95.55562626965846
4,32,512,2088333908418.0,775952881451.0,21866133008.0,8461305041.0,246.80990678137638,2.6913153599132222,95.50540590116948
16,256,256,2088333908418.0,712098525939.0,21475590366.0,8703648837.0,239.93774881407248,2.932647424967274,97.24221187065643
16,128,256,2088333908418.0,712098525939.0,21476358366.0,8704416837.0,239.91657885007146,2.932647424967274,97.23873446459699
16,64,256,2088333908418.0,712098525939.0,21477830366.0,8705888837.0,239.8760135257629,2.932647424967274,97.2320701314361
8,256,256,2088333908418.0,777034268651.0,21475590366.0,8816149599.0,236.87596098129686,2.6875698957827585,97.24221187065643
8,128,256,2088333908418.0,777034268651.0,21476358366.0,8816917599.0,236.85532783643745,2.6875698957827585,97.23873446459699
8,64,256,2088333908418.0,777034268651.0,21477830366.0,8818389599.0,236.81579102093832,2.6875698957827585,97.2320701314361
4,256,256,2088333908418.0,907011540451.0,21475590366.0,9097401499.0,229.5527913819735,2.302433668462038,97.24221187065643
4,128,256,2088333908418.0,907011540451.0,21476358366.0,9098169499.0,229.53341423761486,2.302433668462038,97.23873446459699
4,64,256,2088333908418.0,907011540451.0,21477830366.0,9099641499.0,229.49628385332502,2.302433668462038,97.2320701314361
16,32,256,2088333908418.0,712098525939.0,22297414366.0,9525472837.0,219.2367711454952,2.932647424967274,93.65811991198298
8,32,256,2088333908418.0,777034268651.0,22297414366.0,9637973599.0,216.67769546854515,2.6875698957827585,93.65811991198298
4,32,256,2088333908418.0,907011540451.0,22297414366.0,9919225499.0,210.53396846644267,2.302433668462038,93.65811991198298
2,256,1024,2088333908418.0,1559869279711.0,19231179404.0,10894630297.0,191.68469709275533,1.338787766116472,108.59104709842372
2,128,1024,2088333908418.0,1559869279711.0,19239163404.0,10902614297.0,191.54432611567603,1.338787766116472,108.54598324082096
2,64,1024,2088333908418.0,1559869279711.0,19456644346.0,11120095239.0,187.79820348065635,1.338787766116472,107.33268652501893
2,256,512,2088333908418.0,1559869279711.0,19977748392.0,11641199285.0,179.39164662431943,1.338787766116472,104.53299678427545
2,128,512,2088333908418.0,1559869279711.0,19978516392.0,11641967285.0,179.37981247453746,1.338787766116472,104.52897840073008
2,64,512,2088333908418.0,1559869279711.0,20011980392.0,11675431285.0,178.8656759173415,1.338787766116472,104.35418521861202
2,256,256,2088333908418.0,1559869279711.0,21475590366.0,13139041259.0,158.94111809623323,1.338787766116472,97.24221187065643
2,128,256,2088333908418.0,1559869279711.0,21476358366.0,13139809259.0,158.9318282521958,1.338787766116472,97.23873446459699
2,64,256,2088333908418.0,1559869279711.0,21477830366.0,13141281259.0,158.91402575283698,1.338787766116472,97.2320701314361
2,32,1024,2088333908418.0,1559869279711.0,21854641008.0,13518091901.0,154.48436981431644,1.338787766116472,95.55562626965846
2,32,512,2088333908418.0,1559869279711.0,21866133008.0,13529583901.0,154.3531511167647,1.338787766116472,95.50540590116948
16,16,1024,2088333908418.0,220830656768.0,30905370116.0,13956866040.0,149.6277102920449,9.45672099599812,67.57187830398607
2,32,256,2088333908418.0,1559869279711.0,22297414366.0,13960865259.0,149.58484805028374,1.338787766116472,93.65811991198298
8,16,1024,2088333908418.0,383994680526.0,30905370116.0,14966400924.0,139.5348099401216,5.438444890844264,67.57187830398607
16,16,512,2088333908418.0,384560828986.0,30905370116.0,15339781384.0,136.13844005601118,5.430438440452878,67.57187830398607
8,16,512,2088333908418.0,449524321848.0,30905370116.0,15480032296.0,134.90500978848863,4.64565276431058,67.57187830398607
16,256,128,2088333908418.0,1367287790724.0,24471286316.0,17400510072.0,120.01567194161962,1.5273550474053417,85.33813390318554
8,256,128,2088333908418.0,1432111032686.0,24471286316.0,17400510084.0,120.01567185885261,1.4582206691762016,85.33813390318554
16,128,128,2088333908418.0,1367287790724.0,24472054316.0,17401278072.0,120.01037508723515,1.5273550474053417,85.33545575912818
8,128,128,2088333908418.0,1432111032686.0,24472054316.0,17401278084.0,120.01037500447545,1.4582206691762016,85.33545575912818
16,64,128,2088333908418.0,1367287790724.0,24473526316.0,17402750072.0,120.00022408975501,1.5273550474053417,85.33032311950545
8,64,128,2088333908418.0,1432111032686.0,24473526316.0,17402750084.0,120.00022400700931,1.4582206691762016,85.33032311950545
4,16,512,2088333908418.0,775952881451.0,30905370116.0,17500542149.0,119.32966936897607,2.6913153599132222,67.57187830398607
4,16,1024,2088333908418.0,775952881451.0,30905370116.0,17500542149.0,119.32966936897607,2.6913153599132222,67.57187830398607
16,32,128,2088333908418.0,1367287790724.0,24599990316.0,17529214072.0,119.13448599807823,1.5273550474053417,84.89165571173959
8,32,128,2088333908418.0,1432111032686.0,24599990316.0,17529214084.0,119.13448591652217,1.4582206691762016,84.89165571173959
4,256,128,2088333908418.0,1562032054111.0,24471286316.0,17625511609.0,118.48359098703538,1.3369340935878133,85.33813390318554
4,128,128,2088333908418.0,1562032054111.0,24472054316.0,17626279609.0,118.47842850238766,1.3369340935878133,85.33545575912818
4,64,128,2088333908418.0,1562032054111.0,24473526316.0,17627751609.0,118.46853499749697,1.3369340935878133,85.33032311950545
4,32,128,2088333908418.0,1562032054111.0,24599990316.0,17754215609.0,117.62467880357259,1.3369340935878133,84.89165571173959
16,16,256,2088333908418.0,712098525939.0,30938870366.0,18166928836.999992,114.95250117151107,2.932647424967274,67.49871225786434
2,256,128,2088333908418.0,1821986597711.0,24471286316.0,18188015409.0,114.81922911636785,1.1461851097267224,85.33813390318554
2,128,128,2088333908418.0,1821986597711.0,24472054316.0,18188783409.0,114.81438100937915,1.1461851097267224,85.33545575912818
2,64,128,2088333908418.0,1821986597711.0,24473526316.0,18190255409.0,114.80508994858612,1.1461851097267224,85.33032311950545
8,16,256,2088333908418.0,777034268651.0,30938870366.0,18279429599.0,114.2450259242359,2.6875698957827585,67.49871225786434
2,32,128,2088333908418.0,1821986597711.0,24599990316.0,18316719409.0,114.0124419546378,1.1461851097267224,84.89165571173959
4,16,256,2088333908418.0,907011540451.0,30938870366.0,18560681499.0,112.51385939306775,2.302433668462038,67.49871225786434
1,256,1024,2088333908418.0,3129622079810.0,19231179404.0,21031191596.0,99.29698461855999,0.6672798999886859,108.59104709842372
1,128,1024,2088333908418.0,3129622079810.0,19239163404.0,21039175596.0,99.25930314565355,0.6672798999886859,108.54598324082096
1,64,1024,2088333908418.0,3129622079810.0,19456644346.0,21256656538.0,98.24376212151412,0.6672798999886859,107.33268652501893
1,256,512,2088333908418.0,3129622079810.0,19977748392.0,21777760584.0,95.89295925827595,0.6672798999886859,104.53299678427545
1,128,512,2088333908418.0,3129622079810.0,19978516392.0,21778528584.0,95.88957768029532,0.6672798999886859,104.52897840073008
1,64,512,2088333908418.0,3129622079810.0,20011980392.0,21811992584.0,95.74246371007294,0.6672798999886859,104.35418521861202
2,16,512,2088333908418.0,1559869279711.0,30905370116.0,22568821009.0,92.53181225484546,1.338787766116472,67.57187830398607
2,16,1024,2088333908418.0,1559869279711.0,30905370116.0,22568821009.0,92.53181225484546,1.338787766116472,67.57187830398607
2,16,256,2088333908418.0,1559869279711.0,30938870366.0,22602321259.0,92.39466533051105,1.338787766116472,67.49871225786434
1,256,256,2088333908418.0,3129622079810.0,21475590366.0,23275602558.0,89.72201270468179,0.6672798999886859,97.24221187065643
1,128,256,2088333908418.0,3129622079810.0,21476358366.0,23276370558.0,89.71905234169971,0.6672798999886859,97.23873446459699
1,64,256,2088333908418.0,3129622079810.0,21477830366.0,23277842558.0,89.713378858656,0.6672798999886859,97.2320701314361
1,32,1024,2088333908418.0,3129622079810.0,21854641008.0,23654653200.0,88.28427501181882,0.6672798999886859,95.55562626965846
1,32,512,2088333908418.0,3129622079810.0,21866133008.0,23666145200.0,88.24140521279317,0.6672798999886859,95.50540590116948
1,32,256,2088333908418.0,3129622079810.0,22297414366.0,24097426558.0,86.66211320912619,0.6672798999886859,93.65811991198298
16,16,128,2088333908418.0,1367287790724.0,31768422316.0,24697646072.000004,84.55598976234288,1.5273550474053417,65.73615421141709
8,16,128,2088333908418.0,1432111032686.0,31768422316.0,24697646084.0,84.55598972125914,1.4582206691762016,65.73615421141709
4,16,128,2088333908418.0,1562032054111.0,31768422316.0,24922647609.0,83.7926187129439,1.3369340935878133,65.73615421141709
2,16,128,2088333908418.0,1821986597711.0,31768422316.0,25485151409.0,81.94316270298914,1.1461851097267224,65.73615421141709
1,256,128,2088333908418.0,3129622079810.0,24471286316.0,26271298508.0,79.49108064765323,0.6672798999886859,85.33813390318554
1,128,128,2088333908418.0,3129622079810.0,24472054316.0,26272066508.0,79.48875691914414,0.6672798999886859,85.33545575912818
1,64,128,2088333908418.0,3129622079810.0,24473526316.0,26273538508.0,79.48430348588658,0.6672798999886859,85.33032311950545
1,32,128,2088333908418.0,3129622079810.0,24599990316.0,26400002508.0,79.10354962220823,0.6672798999886859,84.89165571173959
1,16,512,2088333908418.0,3129622079810.0,30905370116.0,32705382308.0,63.8529123051155,0.6672798999886859,67.57187830398607
1,16,1024,2088333908418.0,3129622079810.0,30905370116.0,32705382308.0,63.8529123051155,0.6672798999886859,67.57187830398607
1,16,256,2088333908418.0,3129622079810.0,30938870366.0,32738882558.0,63.787574445105776,0.6672798999886859,67.49871225786434
1,16,128,2088333908418.0,3129622079810.0,31768422316.0,33568434508.0,62.2112391902074,0.6672798999886859,65.73615421141709
